681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Mac generado                                                            
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Datos listos para ser enviados                                          
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Medio 2: Por redireccion                                                
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Redireccion web                                                         
681281370 ;        9771;   ;pago      ;https://certificacion.webpay.cl         ;13072015      ;144013;186.67.203.10  ;OK ;597026007976        ;Todo OK                                                                 
          ;        9772;   ;resultado ;Desencriptando                          ;13072015      ;144039;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        9772;   ;resultado ;Validacion                              ;13072015      ;144039;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        9772;   ;resultado ;20150713024010                          ;13072015      ;144039;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        9772;   ;resultado ;20150713024010                          ;13072015      ;144039;200.10.12.55   ;OK ;                    ;http://45.55.88.47/xt_compra.php                                        
681281370 ;        9772;   ;transacc  ;681281370                               ;13072015      ;144039;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
681281370 ;        9772;   ;resultado ;logro abrir_conexion                    ;13072015      ;144039;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
681281370 ;        9772;   ;transacc  ;681281370                               ;13072015      ;144039;200.10.12.55   ;OK ;597026007976        ;POST a url http://45.55.88.47/xt_compra.php                             
681281370 ;        9772;   ;transacc  ;681281370                               ;13072015      ;144039;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
